1,SEMESTRAL 2 - 2024,A,8,1
2,SEMESTRAL 2 - 2024,A,7,1
3,SEMESTRAL 2 - 2024,A,8,1
4,SEMESTRAL 2 - 2024,A,8,1
5,SEMESTRAL 2 - 2024,A,7,1
6,SEMESTRAL 2 - 2024,A,7,1
7,SEMESTRAL 2 - 2024,A,7,1
8,SEMESTRAL 2 - 2024,A,9,1
9,SEMESTRAL 2 - 2024,A,7,1
10,SEMESTRAL 2 - 2024,A,8,1
11,SEMESTRAL 2 - 2024,A,8,1
12,SEMESTRAL 2 - 2024,A,7,1
13,SEMESTRAL 2 - 2024,A,6,1
14,SEMESTRAL 2 - 2024,A,8,1
15,SEMESTRAL 2 - 2024,A,7,1
16,SEMESTRAL 2 - 2024,A,7,1
17,SEMESTRAL 2 - 2024,A,6,1
18,SEMESTRAL 2 - 2024,A,7,1
19,SEMESTRAL 2 - 2024,A,6,1
20,SEMESTRAL 2 - 2024,A,7,1
21,SEMESTRAL 2 - 2024,A,6,1
22,SEMESTRAL 2 - 2024,A,8,1
23,SEMESTRAL 2 - 2024,A,7,1
24,SEMESTRAL 2 - 2024,A,7,1
25,SEMESTRAL 2 - 2024,A,7,1
26,SEMESTRAL 2 - 2024,A,6,1
27,SEMESTRAL 2 - 2024,A,8,1
28,SEMESTRAL 2 - 2024,A,7,1
29,SEMESTRAL 2 - 2024,A,9,1
30,SEMESTRAL 2 - 2024,A,7,1
31,SEMESTRAL 2 - 2024,A,7,1
32,SEMESTRAL 2 - 2024,A,7,1
33,SEMESTRAL 2 - 2024,A,6,1
34,SEMESTRAL 2 - 2024,A,8,1
35,SEMESTRAL 2 - 2024,A,8,1
36,SEMESTRAL 2 - 2024,A,7,1
37,SEMESTRAL 2 - 2024,A,8,1
38,SEMESTRAL 2 - 2024,A,7,1
39,SEMESTRAL 2 - 2024,A,6,1
40,SEMESTRAL 2 - 2024,A,8,1
41,SEMESTRAL 2 - 2024,A,6,1
42,SEMESTRAL 2 - 2024,A,8,1
43,SEMESTRAL 2 - 2024,A,8,1
44,SEMESTRAL 2 - 2024,A,7,1
45,SEMESTRAL 2 - 2024,A,9,1
46,SEMESTRAL 2 - 2024,A,6,1
47,SEMESTRAL 2 - 2024,A,8,2
48,SEMESTRAL 2 - 2024,A,10,2
49,SEMESTRAL 2 - 2024,A,7,2
50,SEMESTRAL 2 - 2024,A,7,2
51,SEMESTRAL 2 - 2024,A,6,2
52,SEMESTRAL 2 - 2024,A,10,2
53,SEMESTRAL 2 - 2024,A,8,2
54,SEMESTRAL 2 - 2024,A,6,2
55,SEMESTRAL 2 - 2024,A,8,2
56,SEMESTRAL 2 - 2024,A,10,2
57,SEMESTRAL 2 - 2024,A,7,2
58,SEMESTRAL 2 - 2024,A,7,2
59,SEMESTRAL 2 - 2024,A,8,2
60,SEMESTRAL 2 - 2024,A,10,2
61,SEMESTRAL 2 - 2024,A,8,2
62,SEMESTRAL 2 - 2024,A,7,2
63,SEMESTRAL 2 - 2024,A,8,2
64,SEMESTRAL 2 - 2024,A,6,2
